"variable","value","station"
51,1208793,"B"
52,813175,"B"
53,51597138,"B"
54,32400117,"B"
55,754496,"B"
56,11339677,"B"
57,5007086,"B"
58,1442722,"B"
59,1551590,"B"
60,12735,"B"
61,6179,"B"
62,372651,"B"
63,1322575,"B"
64,48002,"B"
65,2744345,"B"
66,209319,"B"
67,3158130,"B"
68,2128325,"B"
69,3397922,"B"
70,15975870,"B"
71,164995,"B"
72,199118,"B"
73,559082,"B"
74,12687420,"B"
75,412809,"B"
76,18200683,"B"
77,407870,"B"
78,381826,"B"
79,4027575,"B"
80,1362969,"B"
81,1406660,"B"
82,4776950,"B"
83,16578713,"B"
84,14921674,"B"
85,8312784,"B"
86,7054524,"B"
87,2711957,"B"
88,5653416,"B"
89,2227879,"B"
90,3482026,"B"
91,2439560,"B"
92,207342,"B"
93,728625,"B"
94,4063649,"B"
95,3408176,"B"
96,4799655,"B"
97,2822797,"B"
98,1458721,"B"
99,229532,"B"
100,1401293,"B"
101,1849254,"B"
102,7361441,"B"
103,94881039,"B"
104,24475960,"B"
105,1038516,"B"
106,369679,"B"
107,2035136,"B"
108,13014926,"B"
109,964213,"B"
110,82445,"B"
111,418514,"B"
112,2368576,"B"
113,14994592,"B"
114,328359,"B"
115,757399,"B"
116,60475,"B"
117,11087456,"B"
118,7667226,"B"
119,9927215,"B"
120,7105956,"B"
121,2052429,"B"
122,1377492,"B"
123,8576773,"B"
124,1375614,"B"
125,668440,"B"
126,574032,"B"
127,971236,"B"
128,7968702,"B"
129,2668913,"B"
130,24843,"B"
131,54347,"B"
132,28552,"B"
133,1122055,"B"
134,177423,"B"
135,156057,"B"
136,2083162,"B"
137,682981,"B"
138,173309,"B"
139,14734,"B"
140,226376,"B"
141,11425,"B"
142,188954,"B"
143,1072756,"B"
144,877594,"B"
145,3282018,"B"
146,13126802,"B"
147,13158166,"B"
148,14256564,"B"
149,1348889,"B"
150,797940,"B"
151,1252355,"B"
152,3297577,"B"
153,665716,"B"
154,267751,"B"
155,691904,"B"
156,4523265,"B"
157,1726571,"B"
158,2871656,"B"
159,15731,"B"
160,71028,"B"
161,11897021,"B"
162,31696659,"B"
163,1770260,"B"
164,2299767,"B"
165,3026008,"B"
166,11805366,"B"
167,1141322,"B"
168,931020,"B"
169,880982,"B"
170,600305,"B"
171,50420,"B"
172,2239270,"B"
173,1591794,"B"
174,74760,"B"
175,112167,"B"
176,5571853,"B"
177,151493366,"B"
178,17783598,"B"
179,964237,"B"
180,480062,"B"
181,360659,"B"
182,1509817,"B"
183,3690150,"B"
184,3616953,"B"
185,15481049,"B"
186,2795869,"B"
187,601070,"B"
188,152594,"B"
189,74812,"B"
190,40932,"B"
191,201094,"B"
192,452145,"B"
193,1921682,"B"
194,4679,"B"
195,78617,"B"
196,12528,"B"
197,4907894,"B"
198,927866,"B"
199,1980967,"B"
200,1498413,"B"
1,19021465,"C"
2,5644349,"C"
3,70695,"C"
4,38157311,"C"
5,49457848,"C"
6,562451,"C"
7,2675288,"C"
8,2938203,"C"
9,135969,"C"
10,6507469,"C"
11,15811518,"C"
12,11930296,"C"
13,7630804,"C"
14,242564,"C"
15,303032,"C"
16,7747680,"C"
17,7593505,"C"
18,887437,"C"
19,693615,"C"
20,428183,"C"
21,2218481,"C"
22,79797,"C"
23,1541,"C"
24,315056,"C"
25,609362,"C"
26,401962,"C"
27,14988643,"C"
28,8814038,"C"
29,623259,"C"
30,493839,"C"
31,298970,"C"
32,353265,"C"
33,584929,"C"
34,2012511,"C"
35,465125,"C"
36,181457,"C"
37,133354,"C"
38,47744,"C"
39,13477,"C"
40,243655,"C"
41,612102,"C"
42,31468521,"C"
43,45584196,"C"
44,1543019,"C"
45,6309410,"C"
46,16310895,"C"
47,12048,"C"
48,107278,"C"
49,123102,"C"
50,1276524,"C"
51,200289,"C"
52,501392,"C"
53,39850106,"C"
54,61104121,"C"
55,10361490,"C"
56,405080,"C"
57,706740,"C"
58,285245,"C"
59,201850,"C"
60,4467400,"C"
61,1996194,"C"
62,13298503,"C"
63,18263478,"C"
64,49869,"C"
65,2482065,"C"
66,1328876,"C"
67,5467296,"C"
68,1561457,"C"
69,445476,"C"
70,787610,"C"
71,188044,"C"
72,491519,"C"
73,87977,"C"
74,240387,"C"
75,117486,"C"
76,6810804,"C"
77,684020,"C"
78,856169,"C"
79,18736,"C"
80,609340,"C"
81,164120,"C"
82,768195,"C"
83,1790458,"C"
84,977259,"C"
85,240717,"C"
86,293321,"C"
87,634674,"C"
88,16996527,"C"
89,12186635,"C"
90,16543164,"C"
91,12485233,"C"
92,283879,"C"
93,168007,"C"
94,1995184,"C"
95,310922,"C"
96,51904,"C"
97,69893,"C"
98,121090,"C"
99,989615,"C"
100,1602157,"C"
101,1109226,"C"
102,621100,"C"
103,1449150,"C"
104,1591323,"C"
105,127143,"C"
106,524774,"C"
107,6214,"C"
108,1386331,"C"
109,1185102,"C"
110,1457307,"C"
111,798604,"C"
112,185689,"C"
113,5482480,"C"
114,41880,"C"
115,457824,"C"
116,310919,"C"
117,303158,"C"
118,385900,"C"
119,131786,"C"
120,125285,"C"
121,119414,"C"
122,192547,"C"
123,368734,"C"
124,550541,"C"
125,37280,"C"
126,310147,"C"
127,363514,"C"
128,8890578,"C"
129,12347947,"C"
130,187413,"C"
131,6862266,"C"
132,360178,"C"
133,199023,"C"
134,2377759,"C"
135,713114,"C"
136,1028244,"C"
137,87896,"C"
138,124544,"C"
139,1970,"C"
140,930334,"C"
141,13396,"C"
142,45470,"C"
143,228034,"C"
144,374964,"C"
145,546103,"C"
146,31030498,"C"
147,4401001,"C"
148,6818583,"C"
149,799958,"C"
150,1967117,"C"
151,1796444,"C"
152,5400789,"C"
153,18343,"C"
154,73238,"C"
155,7391,"C"
156,25996734,"C"
157,9362200,"C"
158,1067820,"C"
159,199844,"C"
160,280982,"C"
161,8315423,"C"
162,11885684,"C"
163,211776,"C"
164,1301516,"C"
165,1259803,"C"
166,171963,"C"
167,46315,"C"
168,1128232,"C"
169,945514,"C"
170,347621,"C"
171,51880,"C"
172,500459,"C"
173,287439,"C"
174,79627,"C"
175,230261,"C"
176,252063,"C"
177,1065531,"C"
178,21194,"C"
179,85847,"C"
180,394816,"C"
181,1357252,"C"
182,498585,"C"
183,7356,"C"
184,72202,"C"
185,1466227,"C"
186,769571,"C"
187,3200217,"C"
188,521467,"C"
189,48342,"C"
190,16684,"C"
191,1534766,"C"
192,4242437,"C"
193,1042231,"C"
194,62519,"C"
195,353062,"C"
196,39642,"C"
197,839198,"C"
198,44225,"C"
199,1055669,"C"
200,600456,"C"
1,972481,"D"
2,1875058,"D"
3,120368,"D"
4,339003,"D"
5,7040601,"D"
6,168188,"D"
7,876040,"D"
8,336080,"D"
9,5660,"D"
10,182069,"D"
11,525449,"D"
12,5126293,"D"
13,7198496,"D"
14,5003772,"D"
15,3999845,"D"
16,245976,"D"
17,507239,"D"
18,53324,"D"
19,38243,"D"
20,179097,"D"
21,17039091,"D"
22,3542982,"D"
23,141503,"D"
24,792080,"D"
25,3777214,"D"
26,575570,"D"
27,134161,"D"
28,164627,"D"
29,89730,"D"
30,125965,"D"
31,254713,"D"
32,1220188,"D"
33,1970020,"D"
34,4300748,"D"
35,1154790,"D"
36,228076,"D"
37,331118,"D"
38,347453,"D"
39,125059,"D"
40,315106,"D"
41,592355,"D"
42,60482,"D"
43,9620374,"D"
44,3779731,"D"
45,38004,"D"
46,739080,"D"
47,52048,"D"
48,987505,"D"
49,191530,"D"
50,1956417,"D"
51,64413,"D"
52,598888,"D"
53,1145281,"D"
54,372198,"D"
55,1449813,"D"
56,5768123,"D"
57,427627,"D"
58,2517188,"D"
59,4634916,"D"
60,72131,"D"
61,2571834,"D"
62,1577118,"D"
63,2565932,"D"
64,935689,"D"
65,322573,"D"
66,70057,"D"
67,3741840,"D"
68,7274711,"D"
69,728627,"D"
70,3864291,"D"
71,2997568,"D"
72,915108,"D"
73,292839,"D"
74,1157509,"D"
75,20213,"D"
76,615157,"D"
77,24589,"D"
78,234743,"D"
79,1244335,"D"
80,1693213,"D"
81,1993166,"D"
82,2383657,"D"
83,441415,"D"
84,5964063,"D"
85,2009021,"D"
86,295868,"D"
87,816996,"D"
88,1629740,"D"
89,3995628,"D"
90,37379586,"D"
91,16597502,"D"
92,188929,"D"
93,59578,"D"
94,252564,"D"
95,3126456,"D"
96,3086111,"D"
97,3236549,"D"
98,55676,"D"
99,143435,"D"
100,110125,"D"
101,346506,"D"
102,863330,"D"
103,1036271,"D"
104,990611,"D"
105,504098,"D"
106,2157900,"D"
107,3671486,"D"
108,18838905,"D"
109,5791507,"D"
110,304565,"D"
111,138310,"D"
112,239652,"D"
113,9536147,"D"
114,372906,"D"
115,63285,"D"
116,218910,"D"
117,389629,"D"
118,63189,"D"
119,134885,"D"
120,457156,"D"
121,10306,"D"
122,13105,"D"
123,322593,"D"
124,591286,"D"
125,1343760,"D"
126,1459786,"D"
127,124040,"D"
128,1008759,"D"
129,9212006,"D"
130,578611,"D"
131,5173620,"D"
132,671931,"D"
133,664078,"D"
134,609641,"D"
135,373875,"D"
136,3035241,"D"
137,212904,"D"
138,114648,"D"
139,170573,"D"
140,992447,"D"
141,53415,"D"
142,1102075,"D"
143,469269,"D"
144,1347456,"D"
145,501255,"D"
146,2582508,"D"
147,632720,"D"
148,244936,"D"
149,169394,"D"
150,471232,"D"
151,61037,"D"
152,442790,"D"
153,165277,"D"
154,127309,"D"
155,214855,"D"
156,1910182,"D"
157,828994,"D"
158,469798,"D"
159,120094,"D"
160,191173,"D"
161,568346,"D"
162,519805,"D"
163,86135,"D"
164,12197376,"D"
165,3480697,"D"
166,2798417,"D"
167,459079,"D"
168,547287,"D"
169,231404,"D"
170,57034,"D"
171,19936,"D"
172,194082,"D"
173,357594,"D"
174,56273,"D"
175,517122,"D"
176,4235146,"D"
177,5205588,"D"
178,75237,"D"
179,50264,"D"
180,1192108,"D"
181,2766148,"D"
182,303417,"D"
183,7192464,"D"
184,9578187,"D"
185,6511516,"D"
186,10568272,"D"
187,6493452,"D"
188,640415,"D"
189,689571,"D"
190,201955,"D"
191,1187705,"D"
192,800235,"D"
193,1126677,"D"
194,15634,"D"
195,154797,"D"
196,14253,"D"
197,52797,"D"
198,3513,"D"
199,130943,"D"
200,1711393,"D"
1,7421,"E"
2,519791,"E"
3,82121,"E"
4,3864327,"E"
5,3563525,"E"
6,92221,"E"
7,2252902,"E"
8,14080,"E"
9,69551,"E"
10,3887314,"E"
11,1019262,"E"
12,5491,"E"
13,64189,"E"
14,334470,"E"
15,9401035,"E"
16,29166318,"E"
17,11961736,"E"
18,35134578,"E"
19,39054995,"E"
20,4217384,"E"
21,20627571,"E"
22,38287885,"E"
23,773668,"E"
24,13405186,"E"
25,18178629,"E"
26,2428071,"E"
27,963830,"E"
28,28489936,"E"
29,13062736,"E"
30,852846,"E"
31,482533,"E"
32,11999910,"E"
33,4606324,"E"
34,5173869,"E"
35,10348865,"E"
36,10682168,"E"
37,2733264,"E"
38,6270734,"E"
39,5412181,"E"
40,2987585,"E"
41,13669529,"E"
42,33673939,"E"
43,62680336,"E"
44,314927,"E"
45,255090,"E"
46,1200417,"E"
47,781867,"E"
48,9228326,"E"
49,124359,"E"
50,10017916,"E"
51,919845,"E"
52,1120675,"E"
53,49160070,"E"
54,14127858,"E"
55,78411142,"E"
56,73966986,"E"
57,8958565,"E"
58,8809228,"E"
59,45871824,"E"
60,5147110,"E"
61,258935,"E"
62,1980427,"E"
63,3623216,"E"
64,1351458,"E"
65,6789471,"E"
66,3403613,"E"
67,14017893,"E"
68,176243,"E"
69,77902,"E"
70,547512,"E"
71,213023,"E"
72,372453,"E"
73,126271,"E"
74,1768569,"E"
75,245645,"E"
76,4606057,"E"
77,205212,"E"
78,471419,"E"
79,55729,"E"
80,181234,"E"
81,439636,"E"
82,2049190,"E"
83,494248,"E"
84,5017243,"E"
85,2549472,"E"
86,1819988,"E"
87,124895,"E"
88,1203674,"E"
89,735151,"E"
90,461619,"E"
91,14197999,"E"
92,714471,"E"
93,585415,"E"
94,8722600,"E"
95,1246825,"E"
96,3209499,"E"
97,12137315,"E"
98,1260237,"E"
99,2309407,"E"
100,606898,"E"
101,905644,"E"
102,811466,"E"
103,4726887,"E"
104,2458780,"E"
105,806854,"E"
106,887025,"E"
107,1542035,"E"
108,15551575,"E"
109,10760064,"E"
110,2126197,"E"
111,263919,"E"
112,613352,"E"
113,6331535,"E"
114,47426,"E"
115,1803354,"E"
116,640806,"E"
117,3899753,"E"
118,702144,"E"
119,1097550,"E"
120,12676336,"E"
121,1223784,"E"
122,325169,"E"
123,5635684,"E"
124,254446,"E"
125,447751,"E"
126,14177992,"E"
127,1540498,"E"
128,4534980,"E"
129,9836798,"E"
130,1319806,"E"
131,7460068,"E"
132,1315344,"E"
133,47342211,"E"
134,3057355,"E"
135,1610920,"E"
136,11435719,"E"
137,3110950,"E"
138,1702342,"E"
139,214196,"E"
140,1150819,"E"
141,16870,"E"
142,325405,"E"
143,3788985,"E"
144,2260916,"E"
145,1689286,"E"
146,9492851,"E"
147,9328961,"E"
148,6086672,"E"
149,3230759,"E"
150,5143645,"E"
151,42014,"E"
152,1428057,"E"
153,954037,"E"
154,9687444,"E"
155,1081584,"E"
156,15914812,"E"
157,25287622,"E"
158,22455161,"E"
159,4194199,"E"
160,2396551,"E"
161,883860,"E"
162,491323,"E"
163,1662666,"E"
164,38803749,"E"
165,7351938,"E"
166,100923,"E"
167,276403,"E"
168,6729588,"E"
169,1827081,"E"
170,145688,"E"
171,715603,"E"
172,1036429,"E"
173,2131916,"E"
174,234416,"E"
175,1045206,"E"
176,6213777,"E"
177,3593954,"E"
178,4796504,"E"
179,942967,"E"
180,4471003,"E"
181,2848095,"E"
182,1316544,"E"
183,8445979,"E"
184,205838,"E"
185,7936299,"E"
186,8710690,"E"
187,2420266,"E"
188,1080919,"E"
189,587944,"E"
190,134732,"E"
191,4226625,"E"
192,6014544,"E"
193,13648304,"E"
194,84225,"E"
195,25867,"E"
196,12102,"E"
197,1395749,"E"
198,41717,"E"
199,865772,"E"
200,428262,"E"
